test,subtest,type,chc,norms,scoretype,minage,maxage,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,sem23,sem24,sem25,sem26,sem27,sem28,sem29,sem30,sem31,sem32,sem33,sem34,sem35,sem36,sem37,sem38,sem39,sem40,sem41,sem42,sem43,sem44,sem45,sem46,sem47,sem48,sem49,sem50,sem51,sem52,sem53,sem54,sem55,sem56,sem57,sem58,sem59,sem60,sem61,sem62,sem63,sem64,sem65,sem66,sem67,sem68,sem69,sem70,sem71,sem72,sem73,sem74,sem75,sem76,sem77,sem78,sem79,sem80,sem81,sem82,sem83,sem84,sem85,sem86,sem87,sem88,sem89,sem90
WJ IV COG,Analysis-Synthesis,cognitive,Gf:RG,us,standard,2,90,,,,,3.41,3.41,3.14,3.14,4.28,4.28,4.92,4.92,4.64,4.64,4.97,4.97,3.76,3.76,3.76,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61
WJ IV COG,Verbal Attention,cognitive,Gwm:Wc,us,standard,2,90,,,5.2,5.2,4.84,4.84,4.95,4.95,6.3,6.3,5.7,5.7,6.16,6.16,5.79,5.79,4.58,4.58,4.58,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36
WJ IV COG,Numbers Reversed,cognitive,Gwm:Wa,us,standard,2,90,,,6.75,6.75,6.2,6.2,5.94,5.94,6.34,6.34,5.97,5.97,4.89,4.89,5.41,5.41,4.57,4.57,4.57,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
WJ IV COG,Object-Number Sequencing,cognitive,Gwm:Wc,us,standard,2,90,,,,,5.51,5.51,4.88,4.88,5.51,5.51,4.85,4.85,4.74,4.74,5.01,5.01,4.89,4.89,4.89,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53,5.53
WJ IV COG,Memory for Words,cognitive,Gwm:Wa,us,standard,2,90,,4.43,4.43,4.43,5.41,5.41,5.2,5.2,6.4,6.4,7.31,7.31,5.99,5.99,6.56,6.56,6.41,6.41,6.41,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27
WJ IV COG,Story Recall,cognitive,Gl:MM,us,standard,2,90,,2.35,2.35,2.35,2.96,2.96,2.38,2.38,3.88,3.88,5.09,5.09,3.93,3.93,4.19,4.19,3.86,3.86,3.86,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26
WJ IV COG,Visual-Auditory Learning,cognitive,Gl:MA,us,standard,2,90,,1.97,1.97,1.97,1.83,1.83,2.65,2.65,3.25,3.25,3.26,3.26,3.12,3.12,3.77,3.77,2.85,2.85,2.85,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
WJ IV COG,Phonological Processing,cognitive,Ga:PC,us,standard,2,90,,,7.19,7.19,5.81,5.81,6.18,6.18,6.71,6.71,7.04,7.04,6.54,6.54,6.18,6.18,5.81,5.81,5.81,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26
WJ IV COG,Nonword Repetition,cognitive,Ga:UM,us,standard,2,90,,,3.55,3.55,3.73,3.73,3.99,3.99,4.66,4.66,4.95,4.95,4.77,4.77,4.65,4.65,4.45,4.45,4.45,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27
WJ IV COG,Visualisation,cognitive,Gv:Vz,us,standard,2,90,,4.74,4.74,4.74,5.41,5.41,6.18,6.18,6.87,6.87,6.54,6.54,6,6,6.36,6.36,5.81,5.09,5.81,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41
WJ IV COG,Picture Recognition,cognitive,Gv:MV,us,standard,2,90,,5.98,5.98,5.98,6.51,6.51,7.7,7.7,8.23,8.23,8.09,8.09,9.35,9.35,9.19,9.19,7.24,7.24,7.24,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,7.83,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38
WJ IV COG,Letter-Pattern Matching,cognitive,Gs:P,us,standard,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV COG,Pair Cancellation,cognitive,Gs:P,us,standard,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV COG,Number-Pattern Matching,cognitive,Gs:P,us,standard,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV ACH,Letter-Word Identification,achievement,Grw:RD,us,standard,2,90,,2.5,2.5,2.5,2.13,2.13,3,3,3.7,3.7,4.21,4.21,5.21,5.21,4.66,4.66,4.47,4.47,4.47,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78
WJ IV ACH,Applied Problems,achievement,Gq:A3,us,standard,2,90,,3.95,3.95,3.95,4.27,4.27,4.13,4.13,4.81,4.81,5.14,5.14,4.75,4.75,4.56,4.56,3.95,3.95,3.95,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53
WJ IV ACH,Spelling,achievement,Grw:SG,us,standard,2,90,,3.89,3.89,3.89,3.85,3.85,3.98,3.98,4.13,4.13,4.54,4.54,4.86,4.86,4.67,4.67,4.78,4.78,4.78,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85
WJ IV ACH,Passage Comprehension,achievement,Grw:RC,us,standard,2,90,,5.34,5.34,5.34,2.13,2.13,3.83,3.83,5.02,5.02,6.6,6.6,6.08,6.08,5.51,5.51,5,5,5,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
WJ IV ACH,Calculation,achievement,Gq:A3,us,standard,2,90,,,,,3.94,3.94,3.82,3.82,4.52,4.52,5,5,4.99,4.99,3.87,3.87,3.6,3.6,3.6,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
WJ IV ACH,Writing Samples,achievement,Grw:WA,us,standard,2,90,,,,5.2,4.74,4.78,4.78,4.74,4.74,4.74,4.5,4.5,4.74,4.74,4.5,4.5,4.74,4.74,4.74,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35
WJ IV ACH,Word Attack,achievement,Grw:RD,us,standard,2,90,,,,,3.09,3.09,3.71,3.71,4.23,4.23,4.75,4.75,5.03,5.03,5.54,5.54,5.29,5.29,5.29,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09
WJ IV ACH,Oral Reading,achievement,Grw:RD,us,standard,2,90,,,,,2.6,2.6,2.12,2.12,2.12,2.12,2.6,2.6,3.35,3.35,3,3,3.35,3.35,3.35,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WJ IV ACH,Sentence Reading Fluency,achievement,Grw:RS,us,standard,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV ACH,Math Facts Fluency,achievement,Gq:KM,us,standard,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV ACH,Sentence Writing Fluency,achievement,Grw:WS,us,standard,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV ACH,Reading Recall,achievement,Grw:RC,us,standard,2,90,,,,,2.65,2.65,2.27,2.27,2.73,2.73,2.93,2.93,2.62,2.62,5.1,5.1,4.34,4.34,4.34,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42
WJ IV ACH,Number Matrices,achievement,Gq:A3,us,standard,2,90,,,,,7.04,7.04,4.47,4.47,3.8,3.8,4.51,4.51,3.75,3.75,4.96,4.96,4.31,4.31,4.31,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06
WJ IV ACH,Editing,achievement,Grw:EU,us,standard,2,90,,,,,,,5,5,4.6,4.6,5.03,5.03,4.85,4.85,4.64,4.64,4.36,4.36,4.36,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
WJ IV ACH,Word Reading Fluency,achievement,Grw:RS,us,standard,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV ACH,Spelling of Sounds,achievement,Grw:SG,us,standard,2,90,,,,,2.51,2.51,3.55,3.55,4.72,4.72,5.72,5.72,5.89,5.89,6.41,6.41,5.13,5.13,5.13,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59
WJ IV ACH,Reading Vocabulary,achievement,Grw:RC,us,standard,2,90,,,,,4.24,4.24,4.74,4.74,4.97,4.97,5.81,5.81,6.36,6.36,6.87,6.87,5.81,5.81,5.81,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
WJ IV ACH,Science,achievement,Gkn:K1,us,standard,2,90,,4.69,4.69,4.69,6.18,6.18,8.08,8.08,8.22,8.22,8.19,8.19,7.39,7.39,5.91,5.91,5.51,5.51,5.51,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55
WJ IV ACH,Social Studies,achievement,Gkn:K2,us,standard,2,90,,4.28,4.28,4.28,6.67,6.67,6.28,6.28,6.99,6.99,6.84,6.84,6.76,6.76,5.48,5.48,4.89,4.89,4.89,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47
WJ IV ACH,Humanities,achievement,Gkn:K2,us,standard,2,90,,4.58,4.58,4.58,6.9,6.9,6.08,6.08,6.24,6.24,7.15,7.62,7.96,8.29,7.96,8.44,8.22,7.68,9.74,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62
CTOPP-2,Elision,cognitive,Ga:PC,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Blending Words,cognitive,Ga:PC,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Phoneme Isolation,cognitive,Ga:PC,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Memory for Digits,cognitive,Gwm:Wa,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Nonword Repetition,cognitive,Ga:UM,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Rapid Digit Naming,cognitive,Gr:NA,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Rapid Letter Naming,cognitive,Gr:NA,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Blending Nonwords,cognitive,Ga:PC,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTOPP-2,Segmenting Nonwords,cognitive,Ga:PC,both,scaled,6,24,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XBA,Subtest,cognitive,g,both,standard,1,90,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
XBA,Subtest,achievement,ACH,both,standard,1,90,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
